Group,All Countries,Mauritius,Malta,Jamaica,Cyprus,Latvia,New Zealand,Iceland,Estonia,Lithuania,Slovenia,Slovakia,Cuba,Guinea,Zimbabwe,Thailand,Libya,Lebanon,Greece,Hungary,Croatia,Mauritania,Finland,Malaysia,Norway,North Macedonia,Bulgaria,Bosnia and Herzegovina,Sudan,Denmark,El Salvador,Ethiopia,Australia,Cameroon,Venezuela,Nepal,Austria,Morocco,Moldova,Serbia,Ireland,Switzerland,Ghana,Japan,Armenia,Bahrain,Honduras,Nigeria,Poland,Romania,Portugal,Singapore,Netherlands,United Arab Emirates,Dominican Republic,Belgium,Israel,Ukraine,Bolivia,Sweden,Ecuador,Philippines,China,Kazakhstan,Egypt,Indonesia,Canada,Iraq,Argentina,Germany,France,Turkey,Bangladesh,Italy,Saudi Arabia,Colombia,Pakistan,Spain,Iran,United Kingdom,Chile,Peru,Mexico,South Africa,Russia,India,Brazil,US
A+,0.3,0.26,0.41,0.23,0.4035,0.31,0.32,0.272,0.308,0.33,0.33,0.357,0.335,0.2164,0.185,0.169,0.2886,0.323,0.329,0.33,0.36,0.2668,0.35,0.3035,0.416,0.34,0.37,0.36,0.277,0.37,0.23,0.28,0.31,0.388,0.282,0.283,0.37,0.298,0.318,0.3528,0.26,0.38,0.176,0.398,0.463,0.1935,0.27,0.224,0.32,0.365,0.398,0.239,0.35,0.219,0.264,0.34,0.34,0.34,0.2945,0.37,0.14,0.229,0.278,0.298,0.24,0.2587,0.36,0.25,0.3426,0.37,0.37,0.378,0.2144,0.36,0.239,0.2611,0.216,0.36,0.27,0.32,0.087,0.184,0.2623,0.32,0.3,0.208,0.34,0.357
A-,0.04,0.01,0.045,0.02,0.0348,0.06,0.06,0.048,0.045,0.06,0.07,0.063,0.028,0.009,0.005,0.001,0.0424,0.065,0.05,0.07,0.06,0.016,0.06,0.0015,0.074,0.06,0.07,0.07,0.018,0.07,0.01,0.02,0.07,0.012,0.018,0.002,0.07,0.031,0.06,0.0672,0.05,0.07,0.013,0.002,0.037,0.0133,0.017,0.007,0.06,0.065,0.068,0.003,0.07,0.021,0.021,0.06,0.04,0.06,0.0273,0.07,0.007,0.001,0.0019,0.022,0.02,0.0013,0.06,0.027,0.0044,0.06,0.07,0.047,0.0096,0.06,0.02,0.027,0.0166,0.07,0.03,0.07,0.001,0.005,0.0121,0.05,0.058,0.0057,0.08,0.063
AB+,0.05,0.067,0.03,0.03,0.0472,0.06,0.03,0.02,0.063,0.04,0.06,0.068,0.029,0.0452,0.0099,0.0497,0.045,0.032,0.037,0.08,0.05,0.0385,0.07,0.0746,0.034,0.06,0.07,0.06,0.028,0.04,0.01,0.05,0.02,0.033,0.019,0.086,0.05,0.041,0.07,0.042,0.02,0.04,0.028,0.099,0.056,0.0367,0.025,0.026,0.07,0.068,0.029,0.056,0.025,0.043,0.031,0.041,0.07,0.05,0.0115,0.05,0.005,0.0597,0.05,0.083,0.038,0.0796,0.025,0.074,0.0264,0.04,0.03,0.072,0.1685,0.025,0.04,0.0147,0.0952,0.025,0.07,0.03,0.01,0.016,0.0173,0.03,0.07,0.0893,0.025,0.034
AB-,0.01,0.003,0.005,0.005,0.004,0.01,0.01,0.004,0.009,0.01,0.01,0.012,0.002,0.002,0.0001,0.0003,0.0067,0.007,0.01,0.01,0.01,0.002,0.01,0.0004,0.006,0.01,0.01,0.01,0.002,0.01,0.003,0.01,0.01,0.001,0.001,0.001,0.01,0.004,0.011,0.008,0.01,0.01,0.002,0.0005,0.004,0.0025,0.002,0.001,0.01,0.012,0.005,0.001,0.005,0.004,0.002,0.008,0.01,0.01,0.001,0.01,0.0002,0.0003,0.0003,0.007,0.002,0.0004,0.005,0.009,0.0006,0.01,0.01,0.008,0.0064,0.005,0.003,0.0031,0.0045,0.005,0.008,0.01,0.001,0.0002,0.0008,0.01,0.011,0.0049,0.005,0.006
B+,0.15,0.25,0.07,0.2,0.1111,0.17,0.09,0.09,0.207,0.11,0.12,0.153,0.102,0.2286,0.146,0.368,0.1119,0.095,0.11,0.16,0.15,0.1747,0.16,0.2737,0.068,0.15,0.13,0.12,0.152,0.08,0.11,0.21,0.08,0.12,0.056,0.271,0.12,0.143,0.176,0.126,0.09,0.08,0.183,0.199,0.12,0.2261,0.078,0.207,0.15,0.136,0.066,0.245,0.067,0.209,0.169,0.086,0.17,0.15,0.1011,0.1,0.071,0.249,0.189,0.242,0.124,0.2885,0.076,0.256,0.0859,0.09,0.09,0.142,0.3458,0.075,0.17,0.0228,0.344,0.08,0.222,0.08,0.0335,0.078,0.0853,0.12,0.2,0.3814,0.08,0.085
B-,0.01,0.01,0.01,0.01,0.0087,0.03,0.02,0.016,0.03,0.02,0.03,0.027,0.01,0.01,0.004,0.002,0.0164,0.017,0.02,0.03,0.03,0.011,0.02,0.0014,0.012,0.03,0.02,0.02,0.008,0.02,0.007,0.01,0.02,0.004,0.004,0.002,0.02,0.015,0.03,0.024,0.02,0.01,0.013,0.001,0.01,0.0104,0.006,0.006,0.02,0.024,0.011,0.003,0.013,0.02,0.014,0.015,0.02,0.02,0.0054,0.02,0.003,0.001,0.001,0.018,0.006,0.0015,0.014,0.027,0.0021,0.02,0.01,0.016,0.0096,0.015,0.01,0.007,0.0357,0.02,0.025,0.02,0.0005,0.0028,0.004,0.02,0.032,0.0179,0.02,0.015
O+,0.4,0.383,0.38,0.47,0.3522,0.306,0.38,0.468,0.295,0.36,0.31,0.272,0.458,0.4688,0.633,0.408,0.4264,0.384,0.374,0.27,0.29,0.463,0.28,0.3432,0.332,0.3,0.28,0.31,0.48,0.35,0.62,0.39,0.4,0.428,0.583,0.352,0.3,0.423,0.285,0.3192,0.47,0.35,0.538,0.299,0.29,0.4848,0.575,0.513,0.31,0.28,0.362,0.447,0.395,0.441,0.462,0.38,0.32,0.32,0.5153,0.32,0.75,0.459,0.477,0.307,0.52,0.3682,0.39,0.321,0.454,0.35,0.36,0.298,0.318,0.39,0.478,0.613,0.2663,0.35,0.335,0.38,0.855,0.7,0.5909,0.39,0.28,0.2785,0.36,0.374
O-,0.04,0.017,0.05,0.035,0.0385,0.054,0.09,0.082,0.043,0.07,0.07,0.048,0.036,0.02,0.017,0.002,0.0626,0.077,0.07,0.05,0.05,0.028,0.05,0.0017,0.058,0.05,0.05,0.05,0.035,0.06,0.01,0.03,0.09,0.014,0.037,0.003,0.06,0.045,0.05,0.0608,0.08,0.06,0.045,0.0015,0.02,0.0327,0.027,0.016,0.06,0.05,0.061,0.006,0.075,0.043,0.037,0.07,0.03,0.05,0.0439,0.06,0.0238,0.001,0.0028,0.023,0.05,0.0018,0.07,0.036,0.084,0.06,0.06,0.039,0.0139,0.07,0.04,0.0513,0.0217,0.09,0.04,0.09,0.012,0.014,0.0273,0.06,0.049,0.0143,0.09,0.066
